"","skill_id","job_skills"
"288",288," M&A"
"289",289," Securities Law"
"290",290," SEC Periodic Reporting"
"291",291," Stock Exchange Rules"
"292",292," Corporate Governance"
"293",293," Capital Raising"
"294",294," Mergers and Acquisitions"
"295",295," Equity Offerings"
"296",296," Debt Offerings"
"297",297," Banking and Finance"
"298",298," Litigation"
"299",299," Collaborative Environment"
"300",300," Exchange Regulations"
"301",301," AWS"
"302",302," DBA case tools"
"303",303," SQL programming"
"304",304," Scripts"
"305",305," Structured query language"
"306",306," Algorithmic thinking"
"307",307," Programming languages API"
"308",308," Data backup"
"309",309," Data recovery"
"310",310," Data security"
"311",311," Data integrity"
"312",312," Database standards"
"313",313," End user applications"
"314",314," Database design"
"315",315," Database documentation"
"316",316," Database coding"
"317",317," Attention to detail"
"318",318," Interpersonal skills"
"319",319,"Machine Learning Operations (ML Ops)"
"320",320," Engineering"
"321",321," Evaluation Experimentation"
"322",322," Monitoring Processes"
"323",323," ETL Pipelines"
"324",324," LLMs"
"325",325," NLP"
"326",326," Reinforcement Learning"
"327",327," Probabilistic Graphs"
"328",328," Deep Learning"
"329",329," Autonomy"
"330",330," Flexibility"
"331",331," Teamfirst Mentality"
"332",332," Mentoring"
"333",333," NYCbased"
"334",334," Hiring"
"335",335," Financial Workflows"
"336",336," Product Ownership"
"337",337,"Data Engineering"
"338",338," Data Analytics"
"339",339," Data Modelling"
"340",340," Data Pipeline Design"
"341",341," ETL (Extract Transform Load)"
"342",342," Data Lake"
"343",343," Data Strategy"
"344",344," Data Governance"
"345",345," Advanced Statistics"
"346",346," Machine Learning"
"347",347," Team Leadership"
"348",348," Business Requirements Gathering"
"349",349," Data Security"
"350",350," Full UK Driving Licence"
"351",351,"Data Analysis"
"352",352," Statistical Techniques"
"353",353," Data Mining"
"354",354," Data Quality Management"
"355",355," Data Processing"
"356",356," A/B Testing"
"357",357," Hypothesis Testing"
"358",358," ETL Processes"
"359",359," DataDriven Decision Making"
"360",360,"Hardware Validation"
"361",361," ML/AI Frameworks"
"362",362," Test Execution"
"363",363," Automation Development"
"364",364," Debugging"
"365",365," GPU"
"366",366," HighPerformance Computing"
"367",367," Linux"
"368",368," C/C++"
"369",369," Schematics"
"370",370," Circuit Design"
"371",371," Data Traffic Management"
"372",372," Electrical Laboratory Equipment"
"373",373," Computer Architecture"
"374",374," Processors"
"375",375," Interconnects"
"376",376," Firmware"
"377",377," ML/AI Models"
"378",378," Workloads"
"379",379,"Data governance"
"380",380," Data lineage"
"381",381," Data interdependencies"
"382",382," Data standards"
"383",383," Data consistency"
"384",384," Governance rules"
"385",385," Governance controls"
"386",386," Data quality"
"387",387," Data analytics"
"388",388," Business intelligence"
"389",389," Data lakes"
"390",390," Data gaps"
"391",391," Data flows"
"392",392," Data catalogues"
"393",393," Relational databases"
"394",394," Data transformations"
"395",395," Data mappings"
"396",396," Data modelling"
"397",397," Data findings"
"398",398," Data recommendations"
"399",399," Data consolidation"
"400",400," Agile Product Owner"
"401",401," Healthcare IT systems"
"402",402," Electronic Medical Record systems"
"403",403," EDW"
"404",404," Data Maturity Model"
"405",405," Data modernization"
"406",406," Data stewards"
"407",407," Dashboards"
"408",408," Data assets"
"409",409," Data feeds"
"410",410," Data privacy"
"411",411," Data governance policies"
"412",412," Data governance meetings"
"413",413," Third party data"
"414",414," First party data"
"415",415," Derivative data"
"416",416," Second party data"
"417",417," Product backlog"
"418",418," Product development"
"419",419," Product stakeholders"
"420",420," Health Informatics"
"421",421," Public Health"
"422",422," Data Science"
"423",423," Epidemiology"
"424",424," Biostatistics"
"425",425," Public Policy"
"426",426," Health Policy"
"427",427," Health Services Research"
"428",428," Health Information Sciences"
"429",429," Data governance efforts"
"430",430," Data sharing projects"
"431",431," Enterprisewide data governance"
"432",432," Data maturity models"
"433",433," Health and human services"
"434",434,"SQL Server"
"435",435," SSIS"
"436",436," Windows"
"437",437," PowerShell"
"438",438," SQL DBA"
"439",439," System Utilities"
"440",440," Debugging Tools"
"441",441," Monitoring Tools"
"442",442," Corporate Database Standards"
"443",443," Strategic Database Technologies"
"444",444," Data Management Principles"
"445",445," Data Management Techniques"
"446",446," Information Systems"
"447",447,"Revenue Cycle"
"448",448," Healthcare Data Analysis"
"449",449," Epic Clarity Reporting"
"450",450," Analytic Methods"
"451",451," Statistical Methods"
"452",452," Agile Development"
"453",453," Technical Abilities"
"454",454," Epic Revenue Cycle Certification"
"455",455," Certified Health Data Analyst (CHDA) certification"
"456",456," Bachelor of Science degree"
"457",457," 4+ years of relevant experience"
"458",458," 2+ years of data analysis in healthcare"
"459",459," Strong grasp of analytic and statistical methods"
"460",460," Clinical Experience"
"461",461," Excellent written and oral communication skills"
"462",462," Excellent organizational and analytical skills"
"463",463," Strong technical abilities"
"464",464," Data Architect"
"465",465," Data Infrastructure"
"466",466," AWS S3"
"467",467," AWS EMR"
"468",468," GraphQL API"
"469",469," DataFocused Programming Languages"
"470",470," Petabytes of Data"
"471",471," Bachelor's Degree"
"472",472," Master's Degree"
"473",473," AWS Certified Cloud Data Engineer"
"474",474," ETL Systems"
"475",475," ELT Systems"
"476",476,"Data analytics"
"477",477," Data engineering"
"478",478," Data science"
"479",479," Data processing"
"480",480," Data pipelines"
"481",481," Data visualizations"
"482",482," Machine learning"
"483",483," Software engineering"
"484",484," Hadoop Distributed File System (HDFS)"
"485",485," Presto"
"486",486," Ansible"
"487",487," Docker"
"488",488," Kubernetes"
"489",489," Jupyter Notebooks"
"490",490," Pandas"
"491",491," Bokeh"
"492",492," Superset"
"493",493," Airflow"
"494",494," Statistics"
"495",495," Problemsolving skills"
"496",496,"Azure"
"497",497," ADLS"
"498",498," Databricks"
"499",499," Stream Analytics"
"500",500," SQL DW"
"501",501," COSMOS DB"
"502",502," Analysis Services"
"503",503," Azure Functions"
"504",504," Serverless Architecture"
"505",505," ARM Templates"
"506",506," SparkSQL"
"507",507," Kafka"
"508",508," Postgres"
"509",509," Cassandra"
"510",510," Azkaban"
"511",511," Luigi"
"512",512," Storm"
"513",513," Helm"
"514",514," pySpark"
"515",515," TDD"
"516",516," Pair Programming"
"517",517," Continuous Integration"
"518",518," Automated Testing"
"519",519," Deployment"
"520",520," StreamProcessing Systems"
"521",521," SparkStreaming"
"522",522," Dimensional Data Modeling"
"523",523," Schema Design"
"524",524," ETL"
"525",525," Data Warehouses"
"526",526," Data Management Tools"
"527",527," Data Retention"
"528",528,"Data Lifecycle Management"
"529",529," File System Management"
"530",530," Network Share Management"
"531",531," Project Folder/File Structure Creation"
"532",532," Network Share/File/Folder Permissions Management"
"533",533," Large Data Set Migration"
"534",534," Legacy to Modern Systems Data Transfer"
"535",535," NonHomogenous File/Directory Structures Data Integration"
"536",536," Microsoft Distributed File Systems"
"537",537," Windows Server OS Administration"
"538",538," Microsoft Office 365"
"539",539," Active Directory"
"540",540," Granular NTFS File Permissions"
"541",541," Windows File ACLs"
"542",542," NFS Shares"
"543",543," CloudBased Storage Systems"
"544",544,"Software Engineering"
"545",545," Microservices"
"546",546," Full Stack Development"
"547",547," Cloud Computing (AWS Microsoft Azure Google Cloud)"
"548",548," Programming Languages (Python Go)"
"549",549," AWS Tools and Services"
"550",550," Data Compliance"
"551",551," Technical Problem Solving"
"552",552," Agile Practices"
"553",553," People Management"
"554",554," Open Source Frameworks (Airflow Spark Presto Snowflake)"
"555",555,"Senior Architect"
"556",556," Product Line"
"557",557," Design"
"558",558," Strategy"
"559",559," Presentation Skills"
"560",560," Business Acumen"
"561",561," Math"
"562",562," Security Clearance"
"563",563," Washington DC"
"564",564,"Variable Cost Productivity"
"565",565," Costbenefit Analysis"
"566",566," Return on Investment Analysis"
"567",567," Product Configuration Management"
"568",568," Locally Sourced Items"
"569",569," LEAN"
"570",570," Six Sigma"
"571",571," ISO"
"572",572," CFDA"
"573",573," HTML"
"574",574," CSS"
"575",575," JavaScript"
"576",576,"Python"
"577",577," Agile"
"578",578," Distributed Microservices"
"579",579," Microsoft Azure"
"580",580," Google Cloud"
"581",581," Open Source RDBMS"
"582",582," Cloudbased Data Infrastructure"
"583",583," Hive"
"584",584," EMR"
"585",585," Gurobi"
"586",586," MySQL"
"587",587," Agile Engineering Practices"
"588",588,"Data science"
"589",589," Artificial intelligence"
"590",590," Data management"
"591",591," Data visualization"
"592",592," Data mining"
"593",593," Pytorch"
"594",594," Tensorflow"
"595",595," Model building"
"596",596," Team Management"
"597",597," Data Systems Improvement"
"598",598," Decision Making"
"599",599," Team Work"
"600",600," Annual Leave"
"601",601," Benefits"
"602",602," Performance Bonus"
"603",603," Pension Scheme"
"604",604," Life Assurance"
"605",605," Colleague Discount"
"606",606," Training"
"607",607,"Data Visualization"
"608",608," DAX"
"609",609," TransactSQL"
"610",610," OLTP"
"611",611," OLAP"
"612",612," Data Structures"
"613",613," Data Integrity"
"614",614," Software Development Lifecycle"
"615",615," Security"
"616",616," Privacy"
"617",617," Interpersonal Skills"
"618",618," Critical Thinking"
"619",619," Problem Solving"
"620",620," Initiative"
"621",621," Prioritization"
"622",622," DoD 8570"
"623",623," SECNAV 5239.2"
"624",624," Secret Clearance or ability to obtain"
"625",625," Bachelor's degree in Computer Science Information Systems or Computer Engineering"
"626",626," 4 years related experience"
"627",627," 3+ years of BI development using Power BI or equivalent tool"
"628",628," 3+ years of SQL and databases"
"629",629," 3+ years of Excel experience"
"630",630," Knowledge of ETL/ELT techniques and methodologies along with best practices"
"631",631," Exceptional analytical critical thinking and problemsolving abilities"
"632",632," Highly selfdirected"
"633",633," Takes initiative"
"634",634," Can work independently while being a strong contributor to a team"
"635",635," Effective prioritization and time management skills"
"636",636," Can thrive in a dynamic environment in which priorities might change frequently"
"637",637," Excellent communication and interpersonal skills"
"638",638," Strong documentation and presentation skills"
"639",639," Work requires CSWF certification"
"640",640," Security+ or CISSP"
"641",641," DLP Controls"
"642",642," SaaS"
"643",643," IaaS"
"644",644," Information Security Policy"
"645",645," Standards"
"646",646," Web proxy"
"647",647," Email solutions"
"648",648," Endpoint solutions"
"649",649," Technical initiatives"
"650",650," Enterprise cybersecurity"
"651",651," Technical delivery"
"652",652," Product security"
"653",653," Software development practices"
"654",654," Platform engineering"
"655",655," Investigating"
"656",656," Configuring"
"657",657," Supporting"
"658",658," Data protection"
"659",659," High School Diploma"
"660",660," GED"
"661",661," Information technology"
"662",662," Agile delivery model"
"663",663," Public cloud security"
"664",664," Multicloud environments"
"665",665," CISSP"
"666",666," GIAC"
"667",667," CCSP"
"668",668," CISA"
"669",669," Security+"
"670",670," AWS Cloud Practitioner"
"671",671," AWS Solution Architect  Associate"
"672",672," AWS Developer  Associate"
"673",673," AWS Security  Specialty"
"674",674," AWS Solution Architect  Professional"
"675",675," McLean VA"
"676",676," Performancebased incentive compensation"
"677",677," Health"
"678",678," Financial benefits"
"679",679," Capital One Careers website"
"680",680," Equal opportunity employer"
"681",681," Diversity and inclusion"
"682",682," Accommodation during the application process"
"683",683," Technical support"
"684",684," Recruiting process"
"685",685,"Data Management"
"686",686," Statistical Analysis"
"687",687," SAS"
"688",688," Simulation Modeling"
"689",689," AgentBased Modeling"
"690",690," Dynamic Modeling"
"691",691," Discrete Event Modeling"
"692",692," Health Economics"
"693",693," Healthcare"
"694",694," Large Language Models"
"695",695," Longitudinal Surveys"
"696",696," Statistical Programming"
"697",697," Medicare"
"698",698," Medicaid"
"699",699," Marketscan Data"
"700",700," Quantitative Analysis"
"701",701," U.S. Citizenship"
"702",702,"Data Modelling"
"703",703," Data Standards"
"704",704," Data Synthesis"
"705",705," Source System Analysis"
"706",706," Metadata Management"
"707",707," RedShift"
"708",708," Confluence"
"709",709," Draw IO"
"710",710," Collibra"
"711",711," Communicating between Technical and NonTechnical Subjects"
"712",712," Engaging Collaboratively with Stakeholders"
"713",713," Leading Process Development"
"714",714," Evaluating Existing Data Systems"
"715",715," Providing Comprehensive Documentation"
"716",716," Championing Opportunities for Enhancing Current Data Architecture"
"717",717," Designing Data Architecture that Deals with Problems Spanning Different Business Areas"
"718",718," Identifying Similarities between Problems to Devise Common Solutions"
"719",719," Understanding the Impact on the Organisation of Emerging Trends in Data Tools Analysis Techniques and Data Usage"
"720",720," Working within a Strategic Context and Communicating How Activities Meet Strategic Goals"
"721",721," PySpark"
"722",722," Legal Compliance"
"723",723,"Data Quality Manager"
"724",724," Data Quality Standards"
"725",725," Data Quality Framework"
"726",726," Data Quality KPIs"
"727",727," Data Council"
"728",728," Data Owners"
"729",729," Data Stewards"
"730",730," Data Quality Issues"
"731",731," Data Quality Initiatives"
"732",732," Microsoft Purview"
"733",733," Data Quality Rules"
"734",734," Data Quality Processes"
"735",735," Data Quality Procedures"
"736",736," Data Quality Mindset"
"737",737," Best Practices"
"738",738," Analytical Abilities"
"739",739," Collaboration Skills"
"740",740," SelfStarter"
"741",741," Information Management"
"742",742," Data Quality Concepts"
"743",743," Data Quality Methodologies"
"744",744," Data Quality Frameworks"
"745",745," Data Quality Tools"
"746",746," Competitive Salary"
"747",747," Development Opportunities"
"748",748," Event Day Tickets"
"749",749," Internal Events"
"750",750," Free Lunches"
"751",751," Free Private Medical Cover"
"752",752," Contributory Pension Scheme"
"753",753," Additional Thank You Days"
"754",754," Volunteering Days"
"755",755," Hybrid Working Model"
"756",756," Remote Work"
"757",757," Fixed Location"
"758",758," Wembley Stadium"
"759",759," St. George's Park"
"760",760," Processing Centre"
"761",761," Homebased Contract"
"762",762,"Machine learning"
"763",763," Deep learning"
"764",764," Computer vision"
"765",765," Object detection"
"766",766," Git"
"767",767," Automotive AI"
"768",768," Medical device"
"769",769," Algorithm optimization"
"770",770,"Ontology"
"771",771," Linked Data"
"772",772," SPARQL"
"773",773," Graph Databases"
"774",774," JSON"
"775",775," OpenAPI/YAML"
"776",776," AVRO"
"777",777," Protégé"
"778",778," TopQuadrant"
"779",779," PoolParty"
"780",780," Stardog"
"781",781," AnzoGraph"
"782",782," Neptune"
"783",783," Data.World"
"784",784," Agile Principles"
"785",785," Processes"
"786",786," Methodologies"
"787",787," Amazon Web Services"
"788",788," DetailOrientation"
"789",789," Reading Comprehension"
"790",790," Writing Skills"
"791",791,"Data Analytics"
"792",792," Exploratory Analysis"
"793",793," Predictive Analysis"
"794",794," Artificial Intelligence"
"795",795," Microsoft Office (Power BI)"
"796",796," MultiINT Analytics"
"797",797," Automated Predictive Analytics"
"798",798," TS/SCI"
"799",799," 12+ Years of Experience"
"800",800," 5+ Years of Related Experience"
"801",801," Master Data Management"
"802",802," AWS services"
"803",803," Data validation"
"804",804," Data cleansing"
"805",805," Data enrichment"
"806",806," Agile Scrum SDLC"
"807",807," Integration testing"
"808",808," User acceptance testing"
"809",809," Apache Spark"
"810",810," AWS Glue"
"811",811," Data Lakehouse architecture"
"812",812," OpenSearch"
"813",813," Amazon S3"
"814",814," Amazon Redshift"
"815",815," Tika"
"816",816," ElasticSearch"
"817",817," NoSQL databases"
"818",818," AWS Lambda"
"819",819," SQS"
"820",820," NiFi"
"821",821,"Database Platform Operations"
"822",822," Microsoft SQL Server"
"823",823," Sybase ASE"
"824",824," MongoDB"
"825",825," Unix / Linux"
"826",826," Bash"
"827",827," PLSQL"
"828",828," Clustering"
"829",829," HighAvailability"
"830",830," Replication"
"831",831," Disaster Recovery"
"832",832," Backup and Recovery"
"833",833," SQL and Systems Performance Tuning"
"834",834," Network Optimization"
"835",835," Storage Optimization"
"836",836," Server Optimization"
"837",837," Virtualisation"
"838",838," Logical and Physical Database Design"
"839",839," CIS Security Hardening"
"840",840," Security and Auditing"
"841",841," AWX / Ansible Tower"
"842",842," Terraform"
"843",843," TeamCity"
"844",844," Serena Deployment Automation (SDA)"
"845",845," Jenkins"
"846",846," Infrastructure as Code"
"847",847," Continuous Integration (CI)"
"848",848," Continuous Development (CD)"
"849",849," Site Reliability Engineering"
"850",850," LDAP"
"851",851," Kerberos"
"852",852," BMC ControlM"
"853",853," Oracle Cloud Control"
"854",854," IBM Tivoli / Netcool"
"855",855," Oracle ODA"
"856",856," Nutanix HCI"
"857",857," VMWare ESX"
"858",858," Networking Protocols (TCP/IP DNS DHCP VLAN’s)"
"859",859," PaaS"
"860",860," GCP"
"861",861," GDPR"
"862",862," SOX"
"863",863," Dell EMC PowerStore (SAN)"
"864",864," Isilon (NAS)"
"865",865," Rubrik"
"866",866," EMC Networker"
"867",867," Data Domain"
"868",868," IBM Tivoli Storage Manager"
"869",869," CyberArk"
"870",870," Splunk"
"871",871," Qualys"
"872",872," Cisco Tetration"
"873",873," ServiceNow"
"874",874," Pressure Handling"
"875",875," ProblemSolving Skills"
"876",876," ResultsDriven"
"877",877," Proactive Approach"
"878",878," Motivation"
"879",879," Urgency Management"
"880",880," Structured Approach"
"881",881," Logical Approach"
"882",882," Performance Under Pressure"
"883",883," Conflict Management"
"884",884," Large Workload Management"
"885",885," Tight Deadline Management"
"886",886," Complex Technical Communication"
"887",887," Diversity and Inclusion"
"888",888," Statistical Models"
"889",889," Analytics Environment"
"890",890," Problem Solving Skills"
"891",891," Bachelor's Degree in Computer Science Computer Information Systems Mathematics Statistics or Economics"
"892",892," Experience in a Consumer Packaged Goods Company"
"893",893,"Electrical project management"
"894",894," Building Electrical systems"
"895",895," Electrical Distribution"
"896",896," Emergency Generators"
"897",897," Uninterruptible Power Supplies (UPS)"
"898",898," High/Medium/Low voltage applications"
"899",899," Heating Ventilation Air Conditioning Plumbing"
"900",900," Critical Water systems"
"901",901," Fire/Life Safety Protection Systems"
"902",902," Root cause analysis"
"903",903," Computerbased estimating"
"904",904," OSHA Certification"
"905",905," College degree"
"906",906," Journeyman’s license"
"907",907," Master electrician’s license"
"908",908," Strong communication skills"
"909",909," Organizational skills"
"910",910," Teamwork skills"
"911",911," Real Time API design"
"912",912," Cloud native platforms"
"913",913," Serverless computing"
"914",914," High performance computing"
"915",915," Data Mesh"
"916",916," Data Fabric"
"917",917," Multitenancy"
"918",918," Data platform strategies"
"919",919," Problem solving"
"920",920," Operational platforms"
"921",921," Distributed operational systems"
"922",922," Resilience"
"923",923," High availability"
"924",924," Data cleaning"
"925",925," Data transformation"
"926",926," Recruiting"
"927",927," At least 7 years experience"
"928",928," At least 8 years experience"
"929",929," At least 10 years experience"
"930",930,"Remote work"
"931",931," IQA Award"
"932",932," IT industry qualification (Level 4 or above)"
"933",933," Handson experience in IT/Data sector"
"934",934," Level 4 teaching qualification (or willingness to pursue one)"
"935",935," Understanding of Ofsted EIF"
"936",936," Coaching and guidance"
"937",937," Performance reviews"
"938",938," Observation"
"939",939," Corrective actions"
"940",940," Performance management"
"941",941," Quality assurance"
"942",942," Targets/KPIs"
"943",943," Strategy implementation"
"944",944,"Data Science"
"945",945," Quantitative Field"
"946",946," Technical Leadership"
"947",947," Interdisciplinary Collaboration"
"948",948," Execution and Velocity"
"949",949," Research and Statistical Depth"
"950",950," Scalable Design"
"951",951," Mentorship and Development"
"952",952," Forecasting Systems"
"953",953," Marketplace Dynamics"
"954",954," Experimental Design and Analysis"
"955",955," Stakeholder Alignment"
"956",956," Metric Frameworks"
"957",957," Hybrid Work"
"958",958," Pay and Benefits"
"959",959,"Data privacy"
"960",960," Cybersecurity law"
"961",961," Contract law"
"962",962," Legal compliance"
"963",963," Nondisclosure agreements"
"964",964," Sales and purchasing agreements"
"965",965," Distributor/reseller agreements"
"966",966," Supply agreements"
"967",967," Marketing and other service agreements"
"968",968," Commercial contracts"
"969",969," Employment law"
"970",970," Antitrust"
"971",971," Intellectual property"
"972",972," Export control"
"973",973," Environmental regulations"
"974",974," Diversity equity and inclusion"
"975",975," Multitasking"
"976",976," Travel"
"977",977," Spanish"
"978",978," Portuguese"
"979",979," Law school graduation"
"980",980," California law practice admission"
"981",981," 612 years corporate law department or law firm experience"
"982",982," Law"
"983",983," P&C Insurance"
"984",984," Big Data"
"985",985," Orchestration"
"986",986," AI"
